date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
05.2016,M,IRI,220,23.07.1991,84.47,0,175,---,170,175,1,395,1,ROSTAMI Kianoush,210,1,---,220,85,1st INTERNATIONAL FAJR CUP
05.2016,M,RUS,205,11.01.1986,84.65,1,168,168,155,165,2,373,2,YUFKIN Alexey,195,2,205,*203,85,1st INTERNATIONAL FAJR CUP
05.2016,M,IRI,196,21.04.1995,84.84,2,166,*169,160,166,3,362,5,MOUSAVIJARAHI Seyedayoob,196,3,*208,*203,85,1st INTERNATIONAL FAJR CUP
05.2016,M,ITA,200,20.08.1996,84.74,3,155,155,*155,*155,7,355,4,PIZZOLATO Antonino,195,4,*203,200,85,1st INTERNATIONAL FAJR CUP
05.2016,M,QAT,201,04.06.1998,84.50,4,151,*153,*148,151,9,352,3,ELBAKH Fares Ibrahim E. H.,191,5,201,198,85,1st INTERNATIONAL FAJR CUP
05.2016,M,ARM,196,29.08.1988,84.89,5,156,156,150,154,5,352,6,AGHASYAN Aghasi,187,6,196,193,85,1st INTERNATIONAL FAJR CUP
05.2016,M,ROU,187,13.04.1990,82.32,6,161,161,153,158,4,348,9,CERNEI Gheorghii,180,7,*191,187,85,1st INTERNATIONAL FAJR CUP
05.2016,M,POL,190,13.12.1990,81.33,7,155,*160,150,155,6,345,7,ZWARYCZ Krzysztof Maciej,190,8,*199,*195,85,1st INTERNATIONAL FAJR CUP
05.2016,M,ARM,188,21.10.1989,84.48,8,154,154,*148,148,8,342,8,MIRZOYAN Arakel,182,9,*190,188,85,1st INTERNATIONAL FAJR CUP
05.2016,M,KAZ,185,24.04.1997,80.17,9,150,*155,145,150,10,335,10,MAKEYEV Mikhail,180,10,*190,185,85,1st INTERNATIONAL FAJR CUP
05.2016,M,SRB,160,22.05.1993,79.22,10,135,*140,130,135,11,295,11,ROZSNYIK Ervin,160,11,*165,*165,85,1st INTERNATIONAL FAJR CUP
05.2016,M,TJK,150,03.02.1989,83.63,11,120,*125,*120,120,12,270,12,SANGOV Asomuddin,145,12,*152,150,85,1st INTERNATIONAL FAJR CUP
05.2016,M,MLT,148,08.01.1987,84.45,12,116,*122,116,*121,13,264,13,MICALLEF Kyle Sean,143,13,*151,148,85,1st INTERNATIONAL FAJR CUP
05.2016,M,SLO,140,24.01.1994,78.62,13,110,*115,105,110,15,250,14,SMAJILA Luka,*135,14,140,135,85,1st INTERNATIONAL FAJR CUP
05.2016,M,MGL,138,14.08.1993,82.32,14,112,*117,112,*117,14,250,15,BYAMBAJARGAL Tsend-Ayush,138,15,*143,*143,85,1st INTERNATIONAL FAJR CUP
