date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
09.2014,w,BUL,80,16.09.1994,47.30,0,61,*63,59,61,1,141,1,PANDOVA Daniela,75,1,80,78,48,1st EUROPEAN UNION JUNIOR CUP
09.2014,w,FRA,81,15.04.1994,53.10,1,65,65,60,63,1,146,1,ESTNER Sarah,78,1,*83,81,58,1st EUROPEAN UNION JUNIOR CUP
09.2014,w,POL,100,06.03.1996,59.90,2,78,78,75,*78,1,178,1,WROBLEWSKA Izabela Sandra,92,1,100,93,63,1st EUROPEAN UNION JUNIOR CUP
09.2014,w,CRO,56,24.03.1994,59.50,3,43,43,35,40,2,99,2,MARICIC Petra,45,2,56,52,63,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,POL,141,14.04.1995,64.20,4,112,112,105,*110,1,253,1,PONIEDZIALEK Piotr,131,1,141,136,69,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,NED,121,09.09.1996,67.80,5,98,98,93,*96,2,219,2,BRUIJNEN Teun,115,2,121,118,69,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,BUL,143,26.12.1996,70.50,6,112,112,*105,107,1,255,1,PAPAZYAN Melkon Siragan,135,1,*148,143,77,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,DEN,131,02.03.1995,76.60,7,105,*108,100,105,2,236,2,SUCKOW-BREUM Kris,125,2,---,131,77,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,FRA,160,09.09.1996,77.60,8,122,122,117,*122,1,282,1,VAUTARD Brandon Robert Jean,150,1,160,155,85,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,DEN,116,25.08.1996,83.80,9,101,101,90,96,2,217,2,BREDAHL Kasper,111,2,*121,116,85,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,BIH,140,03.05.1995,87.00,10,117,*120,113,117,1,257,1,KARKELJA Adis,135,1,*142,140,94,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,AUT,180,14.02.1994,104.10,11,150,*155,145,150,1,330,1,FORSTER Philipp,180,1,*190,*190,105,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,ESP,165,13.10.1996,103.40,12,140,*145,140,*145,2,305,2,RUIZ I VELASCO Marcos,160,2,*171,165,105,1st EUROPEAN UNION JUNIOR CUP
09.2014,m,CRO,170,04.08.1994,137.50,13,133,*138,125,133,1,303,1,BIJELIC Silvio,170,1,*185,*181,p105,1st EUROPEAN UNION JUNIOR CUP
