date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
10.2010,w,NGR,98,12.12.1992,47.32,0,77,77,73,76,---,175,---,NWOKOLO Augustina,94,1,*100,98,48,COMMONWEALTH GAMES
10.2010,w,IND,94,15.02.1980,47.71,1,73,*76,73,*76,---,167,---,CHANU NGANGBAM Soniya,94,2,*103,*103,48,COMMONWEALTH GAMES
10.2010,w,IND,95,05.04.1980,47.73,2,70,*73,*70,70,---,165,---,ATOM Sandhya Rani Devi,90,3,*97,95,48,COMMONWEALTH GAMES
10.2010,w,MAS,90,28.02.1987,47.94,3,75,75,*71,73,---,165,---,ZAKARIA Zaira,90,4,*93,*93,48,COMMONWEALTH GAMES
10.2010,w,AUS,91,29.03.1978,47.66,4,69,*72,65,69,---,160,---,LEE Vivian,87,5,*94,91,48,COMMONWEALTH GAMES
10.2010,w,RSA,90,21.07.1984,47.36,5,66,66,63,*66,---,156,---,VRIES Portia,90,6,*95,*95,48,COMMONWEALTH GAMES
10.2010,w,PNG,83,23.11.1987,46.80,6,64,*66,60,64,---,147,---,HARE Kathleen,80,7,*85,83,48,COMMONWEALTH GAMES
10.2010,w,SEY,80,28.02.1989,47.94,7,65,*68,*65,65,---,145,---,THELEMAQUE Katsia,80,8,*85,*85,48,COMMONWEALTH GAMES
10.2010,w,BAN,75,01.01.1990,47.69,8,66,66,60,*65,---,141,---,SHABIRA Molla,70,9,75,*75,48,COMMONWEALTH GAMES
10.2010,w,AUS,---,02.09.1987,47.90,9,73,73,70,*73,---,0,---,YAMASAKI Erika Yuriko Iris,*88,---,*88,*88,48,COMMONWEALTH GAMES
10.2010,w,CAN,100,11.05.1986,52.80,10,82,*84,82,*84,---,182,---,DOZOIS-PREVOST Marilou,98,1,*103,100,53,COMMONWEALTH GAMES
10.2010,w,NGR,100,01.07.1990,51.95,11,80,80,*77,77,---,180,---,AZIKE Onyeka,98,2,*102,100,53,COMMONWEALTH GAMES
10.2010,w,MAS,95,01.07.1988,52.84,12,80,*82,75,80,---,175,---,RAIHAN Binti Yusoff,*95,3,95,*95,53,COMMONWEALTH GAMES
10.2010,w,IND,92,02.10.1987,52.90,13,74,*78,74,*78,---,166,---,SINGH Swati,92,4,*98,*98,53,COMMONWEALTH GAMES
10.2010,w,GBR,93,18.08.1980,52.45,14,66,*69,66,*69,---,159,---,CALVINO Joanne Elizabeth,87,5,93,90,53,COMMONWEALTH GAMES
10.2010,w,NZL,83,24.09.1979,52.65,15,70,*71,67,70,---,153,---,HOWARD Kate,*83,6,83,*83,53,COMMONWEALTH GAMES
10.2010,w,MAS,83,01.01.1990,52.00,16,67,*70,67,*70,---,150,---,NAJIWA Sy. Inani,83,7,*86,*86,53,COMMONWEALTH GAMES
10.2010,w,SIN,80,11.04.1988,51.93,17,66,*70,62,66,---,146,---,WONG Kar Mun Helena,*80,8,*86,80,53,COMMONWEALTH GAMES
10.2010,w,PNG,75,27.09.1992,52.44,18,63,*66,60,63,---,138,---,DOGODO Hitolo,*75,9,*80,75,53,COMMONWEALTH GAMES
10.2010,w,BAN,73,15.07.1984,52.56,19,63,*66,*63,63,---,136,---,PARVIN Firoga,70,10,73,*73,53,COMMONWEALTH GAMES
10.2010,w,MAW,65,14.11.1993,52.21,20,47,*50,45,47,---,112,---,ALINAFE Mchochomi,*65,11,*68,65,53,COMMONWEALTH GAMES
10.2010,m,MAS,141,03.12.1981,55.39,21,116,*118,111,116,---,257,---,AMIRUL Hamizan Bin Ibrahim,135,1,141,*140,56,COMMONWEALTH GAMES
10.2010,m,IND,140,28.03.1989,55.57,22,112,112,106,110,---,252,---,DEY Sukhen,134,2,*146,140,56,COMMONWEALTH GAMES
10.2010,m,IND,141,20.10.1981,55.66,23,107,*109,104,107,---,248,---,VALLURI Srinavasa Rao,135,3,*146,141,56,COMMONWEALTH GAMES
10.2010,m,PAK,133,02.02.1986,55.57,24,104,*107,99,104,---,237,---,GHAFOOR Abdullah,*127,4,133,127,56,COMMONWEALTH GAMES
10.2010,m,SRI,130,04.10.1985,55.68,25,103,103,98,*102,---,233,---,BANDARA W. G. K.,130,5,---,*137,56,COMMONWEALTH GAMES
10.2010,m,SRI,120,01.12.1984,55.29,26,98,*102,95,98,---,218,---,CHANDADARA SIRISENAGE Sangeeth P.W.,120,6,*128,*128,56,COMMONWEALTH GAMES
10.2010,m,NZL,124,18.03.1990,55.46,27,94,94,90,*94,---,218,---,GUINARES Lou,*120,7,124,120,56,COMMONWEALTH GAMES
10.2010,m,MRI,120,13.11.1989,55.23,28,90,*95,90,*95,---,210,---,MARC Jonathan,*120,8,120,*120,56,COMMONWEALTH GAMES
10.2010,m,NRU,115,02.03.1994,55.57,29,92,*96,87,92,---,207,---,BRECHTEFELD Elson,110,9,*120,115,56,COMMONWEALTH GAMES
10.2010,m,PNG,115,15.04.1990,55.36,30,90,*95,85,90,---,205,---,BARU Morea,115,10,*125,*120,56,COMMONWEALTH GAMES
10.2010,m,UGA,---,01.01.1989,55.83,31,90,*95,90,*95,---,0,---,KATAMBA Ismail,*120,---,---,---,56,COMMONWEALTH GAMES
10.2010,m,MAS,---,19.11.1988,55.56,32,109,109,105,*109,---,0,---,MOHD Shafiq,*130,---,*133,*130,56,COMMONWEALTH GAMES
10.2010,w,IND,107,02.10.1986,57.93,33,90,90,84,88,---,197,---,YUMNAM Renu Bala Chanu,104,1,*113,107,58,COMMONWEALTH GAMES
10.2010,w,AUS,106,15.11.1982,57.64,34,86,*90,86,*89,---,192,---,LEE Seen,103,2,*111,106,58,COMMONWEALTH GAMES
10.2010,w,GBR,103,26.04.1994,57.98,35,85,85,*80,80,---,188,---,SMITH Zoe,103,3,*108,*108,58,COMMONWEALTH GAMES
10.2010,w,SEY,100,18.07.1988,57.59,36,87,87,83,*87,---,187,---,AGRICOLE Clementina Ciana,100,4,---,*105,58,COMMONWEALTH GAMES
10.2010,w,CAN,105,09.08.1984,57.90,37,80,*82,*80,80,---,185,---,QUARTON Emily,*101,5,105,102,58,COMMONWEALTH GAMES
10.2010,w,CAN,102,28.03.1990,57.55,38,82,82,*80,80,---,184,---,MONIQUI Annie Marie Roseline Gatienne,99,6,*103,102,58,COMMONWEALTH GAMES
10.2010,w,PNG,103,03.09.1989,57.71,39,75,*80,*75,75,---,178,---,KARI Rita,103,7,*106,*106,58,COMMONWEALTH GAMES
10.2010,w,CMR,96,10.04.1988,57.76,40,75,*78,75,*78,---,171,---,BAKAM TZUCHE Pilar,96,8,*101,*100,58,COMMONWEALTH GAMES
10.2010,w,GBR,93,29.11.1988,57.13,41,77,*81,*77,77,---,170,---,JEWELL Helen Jane,*93,9,93,*93,58,COMMONWEALTH GAMES
10.2010,w,BAN,92,15.12.1991,57.42,42,72,72,65,70,---,164,---,AKTHER Fayema,88,10,*96,92,58,COMMONWEALTH GAMES
10.2010,w,PNG,70,05.11.1992,56.91,43,55,*60,50,55,---,125,---,KASSMAN Monalisa Naime,65,11,70,*70,58,COMMONWEALTH GAMES
10.2010,w,RSA,---,12.08.1988,57.38,44,76,*80,76,*80,---,0,---,PRETORIUS Mona,*96,---,*96,*96,58,COMMONWEALTH GAMES
10.2010,w,NGR,---,22.09.1988,57.45,45,---,---,*84,---,---,0,---,WINIFRED Ndidi Eze,---,---,---,---,58,COMMONWEALTH GAMES
10.2010,m,MAS,156,01.01.1990,61.25,46,120,*125,120,*125,---,276,---,JUMITIH Aricco,150,1,156,153,62,COMMONWEALTH GAMES
10.2010,m,MAS,150,30.01.1984,61.69,47,125,125,120,*125,---,275,---,NAHARUDIN Bin Mahayudin,146,2,150,*150,62,COMMONWEALTH GAMES
10.2010,m,SRI,152,03.02.1985,61.85,48,120,120,*115,115,---,272,---,KURUKULASOORIYAGE Anton Sudesh Peiris,*145,3,152,*152,62,COMMONWEALTH GAMES
10.2010,m,IND,150,12.12.1988,61.70,49,121,121,115,119,---,271,---,SARANG Rustam,145,4,*153,150,62,COMMONWEALTH GAMES
10.2010,m,IND,140,16.12.1987,61.76,50,125,125,119,123,---,265,---,OTARI Omkar Shekhar,140,5,*145,*145,62,COMMONWEALTH GAMES
10.2010,m,AUS,145,27.05.1985,61.85,51,119,119,115,*119,---,264,---,KOUM Koum Daniel,145,6,*148,*148,62,COMMONWEALTH GAMES
10.2010,m,PAK,145,04.10.1978,61.47,52,115,*119,115,*118,---,260,---,GHAFOOR Muhammad Ishitaq,140,7,145,*145,62,COMMONWEALTH GAMES
10.2010,m,AUS,142,16.02.1988,61.53,53,116,116,*110,110,---,258,---,BE Vannara,136,8,*149,142,62,COMMONWEALTH GAMES
10.2010,m,SRI,140,06.08.1989,61.92,54,115,*118,110,115,---,255,---,DISSANAYAKE MUDIYANSELAGE Indika C. D.,135,9,*144,140,62,COMMONWEALTH GAMES
10.2010,m,CYP,135,29.04.1989,61.76,55,117,117,112,*117,---,252,---,MINASIDIS Dimitris,135,10,*140,*140,62,COMMONWEALTH GAMES
10.2010,m,NZL,138,06.02.1987,60.36,56,113,113,105,110,---,251,---,SINCLAIR Cameron,133,11,138,*138,62,COMMONWEALTH GAMES
10.2010,m,WAL,135,18.04.1986,61.64,57,111,111,105,*110,---,246,---,EVANS Gareth Irfon,135,12,*140,*140,62,COMMONWEALTH GAMES
10.2010,m,CMR,130,24.12.1982,61.66,58,115,*117,110,115,---,245,---,NGAMBA Simon,*130,13,*136,130,62,COMMONWEALTH GAMES
10.2010,m,UGA,137,11.04.1994,61.41,59,106,*108,102,106,---,243,---,SSEKYAAYA Charles,132,14,*140,137,62,COMMONWEALTH GAMES
10.2010,m,GBR,125,22.05.1989,61.66,60,110,110,*105,105,---,235,---,FREEBURY Christopher Xavier,125,15,*130,*130,62,COMMONWEALTH GAMES
10.2010,m,TUV,120,15.04.1991,61.39,61,100,*104,95,100,---,220,---,LAPUA Lapua Tuau,115,16,*125,120,62,COMMONWEALTH GAMES
10.2010,m,SOL,125,02.02.1988,60.57,62,90,*95,80,90,---,215,---,BROWN Ramoaka,120,17,125,*125,62,COMMONWEALTH GAMES
10.2010,m,TGA,120,05.02.1993,61.66,63,95,95,90,*95,---,215,---,TAUFA Michael Elborn,*120,18,*126,120,62,COMMONWEALTH GAMES
10.2010,m,TUV,120,23.11.1988,61.53,64,90,*95,85,90,---,210,---,HAUMILI Ioane,*115,19,120,115,62,COMMONWEALTH GAMES
10.2010,m,GHA,115,12.05.1986,61.14,65,85,*90,85,*90,---,200,---,DARKO Daniel,110,20,115,*115,62,COMMONWEALTH GAMES
