date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
04.2013,w,ITA,99,15.10.1988,47.87,0,82,82,77,81,1,181,1,PAGLIARO Genny Caterina,95,1,*101,99,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,UKR,89,16.01.1990,47.79,1,75,*78,71,75,2,164,4,DIACHENKO Iana,89,2,*93,*93,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,FRA,92,12.01.1988,47.97,2,72,72,68,70,4,164,2,MICHEL Anais,88,3,92,90,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,ESP,90,17.08.1981,47.56,3,73,*75,70,73,3,163,3,JUAN TELLO Estefania,90,4,*92,*92,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,POL,85,30.11.1989,47.90,4,68,68,64,*67,5,153,6,FUS Agata,85,5,*88,*88,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,FRA,85,30.05.1992,47.70,5,67,67,64,*67,7,152,5,BONNAMANT Melanie Isabelle,82,6,*87,85,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,BUL,80,06.11.1993,47.36,6,67,67,64,66,6,147,7,DRAGANOVA Natalia Nacheva,77,7,80,*79,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,TUR,71,27.03.1992,47.81,7,58,58,50,55,8,129,8,DEMIREL Hacer,65,8,71,68,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,AZE,---,22.06.1982,47.85,8,---,*82,75,80,DSQ,0,DSQ,ANGELOVA Silviya,95,DSQ,*101,99,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,ROU,---,21.09.1994,47.88,9,---,81,78,*81,DSQ,0,DSQ,ANDRIES Elena Ramona,*93,DSQ,98,93,48,EUROPEAN CHAMPIONSHIPS
04.2013,w,UKR,104,07.11.1986,52.32,10,90,90,85,88,1,194,4,PARATOVA Iuliia,100,1,*106,104,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,RUS,106,21.08.1985,52.74,11,82,*86,82,*86,2,188,1,CHEREMSHANOVA Svetlana,103,2,106,105,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,BUL,105,05.06.1991,52.94,12,81,*82,79,81,4,186,3,IVANOVA Maya Petrova,100,3,105,103,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,TUR,105,16.12.1992,52.13,13,80,80,73,78,5,185,2,COBAN BASOL Aysegul,101,4,105,104,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,FRA,99,17.07.1991,52.46,14,81,81,77,80,3,180,5,LORENTZ Manon Camille,92,5,99,96,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,ROU,93,11.03.1990,52.90,15,75,*79,75,*78,7,168,6,BERCHI Dana Alexandra,93,6,*97,*97,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,FRA,90,21.03.1980,52.66,16,75,*78,*75,75,6,165,7,LACHAUME ANDRIEUX Virginie C. R.,*90,7,*94,90,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,SWE,87,04.11.1978,52.60,17,73,73,70,*73,8,160,8,BERNTSSON Lena Carina,87,8,*93,*91,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,TUR,82,13.06.1991,50.48,18,70,70,65,68,9,152,9,SENSOY Emine,78,9,*85,82,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,FIN,82,24.05.1986,52.44,19,65,*67,65,*67,11,147,10,KUKKONEN Sini Kristiina,*82,10,82,*82,53,EUROPEAN CHAMPIONSHIPS
04.2013,w,DEN,75,28.04.1985,51.11,20,67,67,65,*67,10,142,11,EJSTRUP Christina Trier,75,11,*78,*78,53,EUROPEAN CHAMPIONSHIPS
04.2013,m,MDA,145,09.07.1987,55.93,21,116,116,109,113,2,261,1,SIRGHI Oleg,140,1,*155,145,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,140,01.08.1991,55.77,22,118,118,*115,115,1,258,2,MURADOV Asen Selimov,133,2,140,136,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,BEL,135,27.03.1975,55.75,23,113,113,*109,110,3,248,5,GOEGEBUER Tom Richard,*131,3,*138,135,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,ESP,135,08.09.1992,55.31,24,110,*113,110,*113,4,245,4,BRACHI GARCIA Josue,135,4,*138,*138,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,ITA,136,16.01.1995,55.40,25,105,*108,105,*108,6,241,3,SCARANTINO Mirco,132,5,*138,136,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,130,13.12.1993,55.96,26,107,*111,107,*110,5,237,8,CHENKOV Todor Atanasov,130,6,*134,*134,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,ESP,135,29.07.1990,55.97,27,100,*105,*100,100,10,235,6,OTERO MARTINEZ Michael Steven,130,7,*138,135,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,ITA,130,16.02.1995,55.99,28,104,*108,100,104,7,234,9,DI GIUSTO Michael,124,8,130,*129,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,POL,130,14.11.1987,55.80,29,100,*105,*100,100,9,230,7,PRZEPIORKIEWICZ Maciej,130,9,*135,*135,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,ALB,117,28.04.1997,55.73,30,100,*108,90,100,8,217,10,CERCIZ Arberi,110,10,*125,117,56,EUROPEAN CHAMPIONSHIPS
04.2013,m,ALB,105,17.01.1996,55.72,31,95,95,80,90,11,200,11,SHABANI Anxhelo,100,11,*111,105,56,EUROPEAN CHAMPIONSHIPS
04.2013,w,BLR,118,07.07.1993,57.30,32,95,*97,90,95,1,213,1,CHYCHKAN Alena,115,1,*125,118,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,ROU,117,10.05.1995,57.42,33,93,*96,89,93,3,210,2,TOMA Loredana-Elena,108,2,117,113,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,ALB,112,02.11.1986,57.42,34,95,95,*95,*95,2,207,3,BEGAJ Romela,112,3,*116,*116,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,UKR,107,12.02.1990,57.63,35,91,*94,88,91,4,198,5,DRIUMOVA Kateryna,*107,4,*111,107,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,ROU,107,01.11.1992,57.77,36,91,91,86,89,5,198,6,TITES Georgiana Andreea,103,5,*110,107,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,POL,107,17.11.1988,56.89,37,90,90,85,88,6,197,4,LOCHOWSKA Joanna,*107,6,*111,107,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,GER,103,04.01.1991,57.17,38,85,*89,85,*88,7,188,7,KUSTERER Sabine Beate,103,7,*107,*106,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,SWE,101,15.04.1989,57.50,39,79,79,75,*79,8,180,9,ROOS Anna Angelica Ulrika,96,8,101,*100,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,ITA,100,24.06.1991,54.82,40,78,78,73,76,9,178,10,LOMBARDO Jennifer,95,9,100,98,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,ALB,103,28.10.1985,57.69,41,75,*78,75,*78,11,178,8,KASAJ Fetie,100,10,103,*103,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,FIN,91,28.06.1986,56.94,42,76,76,*76,*76,10,167,11,PUPUTTI Jenni Maria,87,11,*95,91,58,EUROPEAN CHAMPIONSHIPS
04.2013,w,ITA,---,28.04.1993,55.66,43,70,*75,70,*75,12,0,---,RUSSO Giorgia,*95,---,*95,*95,58,EUROPEAN CHAMPIONSHIPS
04.2013,m,ROU,155,25.08.1993,61.69,44,135,135,128,131,1,290,1,CROITORU Florin Ionut,*151,1,155,*151,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,155,06.07.1989,61.94,45,123,*125,120,123,4,278,2,ENEV Stoyan,155,2,*161,*161,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,MDA,150,27.06.1986,61.31,46,125,*130,125,*130,3,275,4,DUDOGLO Ghenadie,145,3,150,*150,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,148,22.09.1989,61.95,47,126,*131,126,*130,2,274,5,NAZIF Ferdi,148,4,*151,*151,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,GRE,150,02.01.1986,61.12,48,110,*115,110,*115,6,260,3,AKRITIDIS Arthouros,145,5,*153,150,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,ESP,145,17.01.1983,61.69,49,115,*120,*115,115,5,260,6,GARCIA RUEDA Ivan,140,6,*149,145,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,ALB,125,03.02.1994,61.38,50,105,*111,105,*111,7,230,7,AVDIRAJ Romario,125,7,---,*135,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,AZE,---,30.03.1994,61.52,51,---,*140,133,137,DSQ,0,DSQ,HRISTOV Valentin,170,DSQ,---,175,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,AZE,---,02.11.1982,61.57,52,---,*132,127,130,DSQ,0,DSQ,SULEYMANOV Zulfugar,*160,DSQ,---,160,62,EUROPEAN CHAMPIONSHIPS
04.2013,m,MDA,---,18.12.1984,61.50,53,---,*137,130,134,DSQ,0,DSQ,BOUR Igor,165,DSQ,*178,170,62,EUROPEAN CHAMPIONSHIPS
04.2013,w,BUL,121,07.06.1985,62.91,54,96,96,94,*96,1,217,2,MANEVA Milka Mikova,116,1,*126,121,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,ROU,122,06.06.1992,62.53,55,90,*94,*90,90,2,212,1,LEPSA Irina-Lacramioara,115,2,*127,122,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,POL,114,25.07.1985,62.94,56,89,89,85,87,3,203,3,LESNIEWSKA Anna,110,3,*116,114,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,POL,110,25.02.1988,62.91,57,87,87,83,85,4,197,4,OSTAPSKA Katarzyna Anna,107,4,*112,110,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,NOR,105,07.12.1987,62.34,58,83,83,*80,80,6,188,6,JORDALEN Anja-Evelin,101,5,105,103,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,FRA,106,24.10.1984,62.55,59,80,*83,*80,80,9,186,5,CHIQUET Agnes Charlotta Monique,*103,6,106,103,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,ITA,102,24.05.1987,62.01,60,83,*87,*83,83,5,185,7,BORDIGNON Giorgia,100,7,102,*102,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,FIN,100,28.04.1987,61.23,61,82,82,*78,78,7,182,10,EVERI Anna-Maria,*96,8,100,96,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,TUR,101,01.05.1995,60.78,62,79,*81,74,79,10,180,8,KURNAZ Mehtap,95,9,101,99,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,TUR,100,17.09.1994,60.33,63,78,*82,74,78,11,178,9,OKUMUS Neslihan,95,10,*102,100,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,ITA,98,02.09.1990,62.20,64,80,*83,80,*83,8,178,11,ALEMANNO Maria Grazia,98,11,*101,*101,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,BLR,---,24.10.1981,62.74,65,---,---,*95,*95,---,0,---,BATSIUSHKA Hanna,---,---,---,---,63,EUROPEAN CHAMPIONSHIPS
04.2013,w,RUS,---,14.03.1986,61.96,66,---,105,100,103,DSQ,0,DSQ,SHAINOVA Marina,125,DSQ,---,130,63,EUROPEAN CHAMPIONSHIPS
04.2013,m,RUS,176,22.11.1988,68.50,67,155,155,146,152,1,331,2,CHEN Oleg,170,1,176,174,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,RUS,145,20.12.1986,68.65,68,112,112,105,110,2,257,1,SLIVENKO Oxana,135,1,145,140,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,ALB,180,10.01.1992,68.94,69,145,*153,*145,145,2,325,1,GODELLI Daniel,174,2,180,*177,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,BLR,140,25.10.1990,68.40,70,112,112,105,110,1,252,2,SAZANAVETS Dzina,135,2,*145,140,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,FRA,168,20.05.1990,68.49,71,143,143,*138,138,4,311,4,KINGUE MATAM Bernardin Ledoux,*168,3,*174,168,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,UKR,125,25.03.1984,68.50,72,105,---,101,105,3,230,4,MIRONYUK Nadiya,117,3,125,123,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,AZE,123,09.05.1987,68.80,73,93,*96,93,*96,7,216,5,KIRIYENKO Alyona,115,4,*124,123,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,MDA,167,15.10.1990,68.34,74,143,143,137,141,3,310,6,CECHIR Serghei,167,4,*174,*172,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,BUL,115,15.10.1982,68.50,75,100,100,95,98,4,215,7,STANCHEVA Rumyana Rumenova,110,5,*118,115,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,FRA,167,12.12.1986,68.17,76,140,140,133,137,5,307,5,AUCOUTURIER Yann,163,5,*171,167,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,POL,117,01.09.1992,68.65,77,98,98,92,95,5,215,6,PIECHOWIAK Patrycja,113,6,*120,117,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,166,01.05.1987,68.08,78,137,*138,135,137,7,303,7,FILEV Ivaylo Todorov,160,6,166,*166,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,GER,162,27.06.1991,68.58,79,138,138,134,*138,6,300,9,BRANDHUBER Simon Josef,158,7,*165,162,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,MDA,109,22.12.1996,68.41,80,93,93,85,90,6,202,8,TRETIACOVA Ecaterina,106,7,109,*109,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,GER,165,13.01.1987,68.23,81,132,*135,128,132,8,297,8,JOACHIM Robert Friedrich,160,8,*170,165,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,SWE,105,09.09.1991,65.38,82,90,*92,86,90,8,195,9,HANSSON Carita,105,8,*109,*109,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,CRO,90,20.05.1984,67.81,83,70,*75,70,*75,10,160,10,KRULJAC Mihaela,85,9,90,*90,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,160,29.09.1983,68.68,84,130,*134,125,130,9,290,10,MINCHEV Dian Ganchev,*160,9,160,*160,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,CZE,155,19.10.1989,68.99,85,128,*133,128,*132,10,283,11,PETROV Petr,*155,10,*163,155,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,NOR,---,15.11.1983,67.92,86,77,77,75,*77,9,0,---,HOLMSTROM Elisabeth,*90,---,*90,*90,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,RUS,127,26.02.1985,68.90,87,---,*105,*105,*105,---,0,3,MATVEEVA Tatiana,125,---,127,*127,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,LAT,---,01.03.1989,68.48,88,---,*125,*125,*125,---,0,---,BERZONS Ulvis,---,---,---,---,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,ALB,174,19.02.1990,68.75,89,---,*142,*142,*142,---,0,3,CALJA Briken,*173,---,*177,174,69,EUROPEAN CHAMPIONSHIPS
04.2013,m,AZE,---,12.05.1985,68.71,90,---,150,*145,145,DSQ,0,DSQ,HASANOV Sardar,*173,DSQ,176,173,69,EUROPEAN CHAMPIONSHIPS
04.2013,w,RUS,155,27.05.1988,72.80,91,123,123,115,120,1,278,1,EVSTIUKHINA Nadezhda,143,1,155,150,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,ESP,135,10.02.1985,74.16,92,120,*124,115,120,2,255,2,VALENTIN PEREZ Lidia,135,2,*142,*140,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,POL,116,05.05.1992,74.94,93,100,100,*100,*100,3,216,4,WIEJAK Malgorzata Antonina,*116,3,116,*116,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,GER,116,13.05.1987,73.87,94,98,98,95,*98,4,214,3,WEDOW Mandy Bianca,113,4,*118,116,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,MDA,111,17.10.1989,73.36,95,94,*96,90,94,5,205,6,PRISCEPA Natalia,111,5,*116,*115,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,GRE,112,10.07.1987,74.29,96,93,*96,93,*96,6,205,5,ANANIADOU Eftychia,112,6,*116,*116,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,SVK,110,15.09.1981,74.00,97,90,90,85,*90,8,200,7,TROJCAKOVA Lucia,103,7,110,106,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,ITA,102,11.04.1993,74.85,98,93,*96,88,93,7,195,8,BRUNELLI Carlotta,102,8,*109,*109,75,EUROPEAN CHAMPIONSHIPS
04.2013,w,RUS,---,02.10.1991,69.34,99,---,*115,110,*115,DSQ,0,DSQ,ROMANOVA Anastasiia,125,DSQ,*140,135,75,EUROPEAN CHAMPIONSHIPS
04.2013,m,RUS,190,31.05.1992,76.93,100,161,161,155,159,1,351,1,KHOMYAKOV Dmitry,185,1,*195,190,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,ROU,186,10.01.1989,76.60,101,148,148,140,145,3,334,2,STOICHITA Paul-Catalin,181,2,186,*185,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,POL,185,18.08.1986,76.57,102,145,*151,145,*150,4,330,3,KUCZYNSKI Damian Lukasz,180,3,185,*185,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,GRE,181,14.06.1992,76.56,103,140,*145,*140,140,8,321,4,MARTASIDIS Antonis,*180,4,181,*180,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,ESP,180,22.09.1990,76.17,104,140,140,*140,*140,6,320,5,GONZALEZ BAEZ Alejandro,*180,5,180,*180,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,UKR,170,06.04.1990,76.24,105,148,148,140,145,2,318,7,SAVCHENKO Eduard,*165,6,170,165,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,ITA,170,19.06.1984,75.99,106,140,140,*135,135,5,310,6,DE LUCA Giorgio,*170,7,170,*170,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,GBR,---,22.09.1988,76.89,107,---,*118,*118,*118,---,0,---,ZORBA Halil,---,---,---,---,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,GRE,---,21.04.1989,76.54,108,140,*142,135,140,7,0,---,MARIANAKIS Emmanouil,*165,---,*170,*165,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,ALB,---,15.01.1992,75.99,109,---,*145,*145,*145,---,0,---,SHORAJ Krenar,*175,---,---,*175,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,MDA,---,21.11.1989,76.18,110,---,157,151,155,DSQ,0,DSQ,SPAC Alexandr,184,DSQ,*194,189,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,ROU,---,22.12.1991,76.66,111,---,*158,153,156,DSQ,0,DSQ,MARTIN Razvan Constantin,185,DSQ,*195,190,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,ARM,---,15.12.1995,76.92,112,---,160,153,157,DSQ,0,DSQ,KARAPETYAN Andranik,180,DSQ,186,*185,77,EUROPEAN CHAMPIONSHIPS
04.2013,m,RUS,215,18.11.1992,84.85,113,173,173,166,171,1,388,1,AUKHADOV Apti,205,1,215,210,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,BUL,205,14.09.1988,84.34,114,170,*173,*170,170,2,375,2,MARKOV Ivan Markov,*205,2,*215,205,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,RUS,202,17.01.1991,84.49,115,165,165,*163,*163,5,367,3,SAYAKHOV Albert,197,3,*205,202,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,ROU,195,21.12.1988,84.25,116,166,*168,162,166,3,361,4,SINCRAIAN Gabriel,195,4,*202,*201,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,FRA,190,21.05.1987,84.65,117,160,160,*155,155,6,350,7,BARDIS Giovanni Battista,185,5,*194,190,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,HUN,190,24.06.1984,84.31,118,157,157,150,155,7,347,6,BARANYAI Janos,190,6,*195,*195,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,GRE,187,12.02.1991,83.88,119,155,*157,150,155,8,342,8,IAKOVIDIS Theodoros,183,7,*190,187,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,ESP,190,11.11.1992,81.74,120,150,*154,145,150,9,340,5,MATA PEREZ Andres Eduardo,190,8,*196,*196,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,UKR,183,20.06.1981,84.91,121,150,150,*146,146,11,333,9,SELIVANOV Kostyantyn,183,9,*194,*191,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,POL,182,13.12.1990,84.17,122,150,*154,150,*154,10,332,10,ZWARYCZ Krzysztof Maciej,182,10,*187,*187,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,GER,178,24.09.1987,84.21,123,143,*148,*143,143,14,321,11,MULLER Michael,173,11,*183,178,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,FIN,165,10.10.1992,83.32,124,140,*145,140,*144,15,305,13,TOKOLA Milko Olavi,165,12,*175,*175,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,NOR,166,22.05.1988,84.37,125,134,134,128,131,16,300,12,AMDAL Jarleif,160,13,166,164,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,SUI,160,15.03.1987,82.91,126,130,130,*125,125,17,290,14,TERMIGNONE Dany,155,14,*162,160,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,BLR,---,31.08.1993,83.90,127,165,165,*160,160,4,0,---,KHUHAYEU Aleh,*193,---,*193,*193,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,NED,---,05.08.1990,84.22,128,148,*152,148,*152,12,0,---,TOVMASJAN Karen,*182,---,*182,*182,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,CRO,---,30.12.1990,83.71,129,143,143,135,140,13,0,---,MUSIC Ensar,*190,---,*195,*191,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,GEO,---,24.05.1987,84.74,130,---,*168,165,*168,DSQ,0,DSQ,TSIREKIDZE Rauli,198,DSQ,*211,205,85,EUROPEAN CHAMPIONSHIPS
04.2013,m,RUS,216,19.10.1987,93.73,131,173,*175,170,173,1,389,1,KIREEV Rinat,200,1,216,208,94,EUROPEAN CHAMPIONSHIPS
04.2013,m,LTU,200,11.01.1993,93.33,132,172,172,165,169,2,372,3,STANULIS Zygimantas,200,2,*207,*205,94,EUROPEAN CHAMPIONSHIPS
04.2013,m,BLR,200,02.02.1990,93.26,133,166,*171,166,*171,6,366,2,MAKARANKA Aliaksandr,200,3,*206,*206,94,EUROPEAN CHAMPIONSHIPS
04.2013,m,UKR,195,16.06.1992,91.52,134,167,167,157,162,5,362,5,CHERNYSHOV Yaroslav,187,4,195,192,94,EUROPEAN CHAMPIONSHIPS
04.2013,m,MDA,190,12.05.1990,93.67,135,168,168,*163,163,4,358,7,ZBIRNEA Andrian,*190,5,*201,190,94,EUROPEAN CHAMPIONSHIPS
04.2013,m,GEO,188,11.01.1988,93.10,136,168,168,162,165,3,356,9,GHONGHADZE Vazha,188,6,*192,*192,94,EUROPEAN CHAMPIONSHIPS
