date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
06.2012,w,MEX,70,16.03.1998,43.00,0,53,53,*49,*53,2,123,1,LARA RAMIREZ Guadalupe,66,1,70,69,44,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,VEN,67,25.03.1997,42.55,1,54,54,43,52,1,121,2,PRADO GUILLEN Maira Alejandra,60,2,67,65,44,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,BRA,59,18.03.1998,44.00,2,42,*48,42,*46,4,101,3,ROSA FIGUEIREDO Emily,57,3,*60,59,44,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,PER,45,01.01.1999,43.20,3,35,*37,32,35,5,80,4,MILAGROS Guerra,40,4,45,43,44,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,MEX,---,10.05.1997,44.00,4,53,*53,49,53,3,0,---,CHAN ALVAREZ Rosa Maria,*65,---,*66,*66,44,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,COL,85,23.02.1999,47.40,5,70,70,63,*70,1,155,1,HINESTROZA RUIZ Yiliana,*85,1,*90,85,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,MEX,75,10.11.1995,47.90,6,60,*64,60,*64,2,135,2,MUNOZ LOPEZ Viviana Izamar,75,2,*86,*85,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,CHI,72,01.01.1996,47.65,7,58,*61,55,58,3,130,4,JAZMIN Silva,68,3,72,*72,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,GUA,70,26.04.1997,47.30,8,54,*56,54,*56,4,124,6,GONZALEZ CONTRERAS Azucena Abigail,*66,4,70,66,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,PER,70,18.04.1996,47.35,9,50,*52,47,50,6,120,7,CURI HUARCA Cindy Lisbeth,68,5,*72,70,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,PER,70,04.02.1998,46.35,10,46,*50,46,*50,7,116,5,CUEVA URIBE Fiorella Francesca,66,6,70,*69,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,BRA,60,16.01.1996,46.75,11,50,*58,50,*55,5,110,8,ROSA FIGUEIREDO Nathasha,60,7,*66,*66,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,ECU,73,01.01.1996,45.45,12,---,*57,*57,*57,---,0,3,MARIA Benavides,68,---,73,*71,48,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,ECU,110,01.01.1995,49.00,13,79,*82,79,*82,1,189,1,GOMEZ Pablo,101,1,110,103,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,MEX,95,05.01.1997,48.60,14,78,*80,73,78,3,173,2,VALLECILLO LEDESMA Vicente Jesus Manuel,95,2,*102,*102,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,VEN,94,23.11.1996,49.20,15,78,78,73,*77,4,172,3,DIAZ Maikol,*91,3,94,91,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,BRA,91,24.04.1995,48.60,16,78,78,*74,74,2,169,4,GOMES Carlos,*91,4,*95,91,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,COL,90,26.06.1996,46.40,17,74,*78,74,*78,5,164,5,DIAZ DIAZ Michel Andres,*90,5,90,*90,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,ARG,90,21.06.1996,49.60,18,66,66,*64,64,6,156,6,JIMENES Nahuel Carlos Daniel,84,6,90,87,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,m,PER,82,11.11.1997,47.20,19,64,*67,64,*67,7,146,7,DELGADO TUESTA Jhordan Neri,82,7,*85,*85,50,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,COL,95,24.05.1995,50.95,20,78,78,70,75,1,173,2,BLANCO GONZALEZ Karool Karina,88,1,95,92,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,MEX,96,16.11.1997,51.70,21,73,73,69,71,2,169,1,DURAN AYON Ana Lilia,93,2,96,*96,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,COL,93,24.05.1995,51.10,22,70,*75,*70,70,3,163,3,ALVAREZ CAICEDO Yenny Fernanda,90,3,*96,93,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,VEN,89,20.01.1996,52.60,23,65,*69,65,*68,6,154,4,NAVEDA FLORES Lucely Guadalupe,84,4,89,86,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,DOM,85,06.01.1995,51.25,24,65,65,*65,*65,4,150,5,SILVESTRE VELGAR Yafreisy,*85,5,*88,85,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,BRA,78,20.11.1995,52.10,25,65,65,60,63,5,143,9,LAURINDO MORAES Leticia Cristina,70,6,78,74,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,CHI,79,25.04.1996,52.65,26,62,*66,62,*66,7,141,8,VALLE ULLOA Constanza Isabel,74,7,*82,79,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
06.2012,w,VEN,79,29.04.1997,51.80,27,61,*65,*61,61,8,140,7,GERAINYS Perez,79,8,*83,*83,53,PAN AMERICAN YOUTH CHAMPIONSHIPS
