date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
08.2010,w,CHN,105,29.01.1993,47.82,0,85,85,75,80,---,190,---,TIAN Yuan,95,1,105,100,48,1st YOUTH OLYMPIC GAMES
08.2010,w,THA,95,29.11.1994,47.04,1,68,*70,65,68,---,163,---,PRAMONGKHOL Sirivimon,89,2,*100,95,48,1st YOUTH OLYMPIC GAMES
08.2010,w,VEN,83,17.07.1994,47.57,2,71,71,67,70,---,154,---,RODRIGUEZ GOMEZ Genesis Lourdes,81,3,*87,83,48,1st YOUTH OLYMPIC GAMES
08.2010,w,VIE,81,15.05.1994,45.82,3,70,70,65,*70,---,151,---,NGUYEN Thi Hong,75,4,*87,81,48,1st YOUTH OLYMPIC GAMES
08.2010,w,IND,85,10.03.1994,47.84,4,65,65,*62,62,---,150,---,MATSA Santoshi,80,5,85,*85,48,1st YOUTH OLYMPIC GAMES
08.2010,w,ESP,76,10.12.1994,47.93,5,63,*65,60,63,---,139,---,HERNANDEZ MARTIN Atenery,73,6,*78,76,48,1st YOUTH OLYMPIC GAMES
08.2010,w,MYA,65,06.01.1994,45.33,6,55,*58,50,55,---,120,---,KAY Khine,65,7,*70,*70,48,1st YOUTH OLYMPIC GAMES
08.2010,w,HUN,57,29.08.1993,46.03,7,46,46,40,43,---,103,---,BERKI Lilla,53,8,*60,57,48,1st YOUTH OLYMPIC GAMES
08.2010,w,BUL,107,10.05.1993,52.73,8,85,85,78,82,---,192,---,KOSTOVA Boyanka Minkova,*98,1,107,98,53,1st YOUTH OLYMPIC GAMES
08.2010,w,TPE,97,26.11.1993,52.91,9,77,77,72,75,---,174,---,KUO Hsing-Chun,90,2,97,95,53,1st YOUTH OLYMPIC GAMES
08.2010,w,INA,100,10.02.1993,51.32,10,71,*76,*70,71,---,171,---,SAFITRI Dewi,95,3,*103,100,53,1st YOUTH OLYMPIC GAMES
08.2010,w,DOM,86,08.11.1993,52.26,11,80,*85,*80,80,---,166,---,REYES MARINEZ Yineisy Paola,80,4,86,*86,53,1st YOUTH OLYMPIC GAMES
08.2010,w,COL,90,23.12.1993,52.51,12,71,71,*68,68,---,161,---,CADENA Diana,87,5,90,*90,53,1st YOUTH OLYMPIC GAMES
08.2010,w,TUR,80,01.10.1993,52.25,13,67,*72,67,*70,---,147,---,AYDIN Damla,*80,6,*85,80,53,1st YOUTH OLYMPIC GAMES
08.2010,w,TUN,78,22.08.1994,52.46,14,62,*65,58,62,---,140,---,MEJRI Oumaima,73,7,*80,78,53,1st YOUTH OLYMPIC GAMES
08.2010,w,MHL,35,17.12.1994,52.26,15,30,30,25,*30,---,65,---,TIBON Lomina,35,8,*45,*45,53,1st YOUTH OLYMPIC GAMES
08.2010,m,VIE,140,15.01.1994,55.40,16,116,116,110,*114,---,256,---,THACH Kim Tuan,134,1,140,*139,56,1st YOUTH OLYMPIC GAMES
08.2010,m,CHN,137,06.10.1994,55.83,17,117,117,108,113,---,254,---,XIE Jiawu,132,2,*140,137,56,1st YOUTH OLYMPIC GAMES
08.2010,m,ARM,135,17.03.1993,55.95,18,108,108,*105,105,---,243,---,MARGARYAN Smbat,135,3,*149,*149,56,1st YOUTH OLYMPIC GAMES
08.2010,m,LAT,128,05.10.1993,55.67,19,98,98,94,*98,---,226,---,ZEREBKOVS Artjoms,122,4,128,127,56,1st YOUTH OLYMPIC GAMES
08.2010,m,ROU,122,25.08.1993,53.63,20,103,103,98,*103,---,225,---,CROITORU Florin Ionut,119,5,*125,122,56,1st YOUTH OLYMPIC GAMES
08.2010,m,VEN,118,07.08.1994,55.85,21,100,100,*98,98,---,218,---,PRADO GUILLEN Juan Manuel,*118,6,*123,118,56,1st YOUTH OLYMPIC GAMES
08.2010,m,TKM,120,18.04.1994,55.41,22,95,95,90,*95,---,215,---,MATKERIMOV Ihtiyor,110,7,120,115,56,1st YOUTH OLYMPIC GAMES
08.2010,m,TUN,118,13.11.1994,55.31,23,96,96,91,*96,---,214,---,BEN HNIA Karem,118,8,*122,*122,56,1st YOUTH OLYMPIC GAMES
08.2010,m,NRU,117,02.03.1994,55.56,24,92,92,87,*92,---,209,---,BRECHTEFELD Elson,113,9,117,*117,56,1st YOUTH OLYMPIC GAMES
08.2010,m,RSA,100,25.07.1993,55.76,25,85,*90,85,*90,---,185,---,RAMELA Phehello John,100,10,*105,*105,56,1st YOUTH OLYMPIC GAMES
08.2010,m,MHL,65,25.09.1993,53.57,26,55,*60,45,55,---,120,---,SHIRO Amon,55,11,65,*65,56,1st YOUTH OLYMPIC GAMES
08.2010,w,CHN,132,14.02.1993,57.37,27,110,110,100,105,---,242,---,DENG Wei,125,1,*137,132,58,1st YOUTH OLYMPIC GAMES
08.2010,w,KAZ,130,25.07.1993,55.54,28,95,*97,90,95,---,225,---,CHINSHANLO Zulfiya,120,2,130,125,58,1st YOUTH OLYMPIC GAMES
08.2010,w,NGR,105,30.08.1994,55.13,29,85,85,*80,80,---,190,---,EKOSCHORIA Racheal,105,3,*110,*110,58,1st YOUTH OLYMPIC GAMES
08.2010,w,ECU,93,28.07.1993,57.76,30,73,*77,73,*77,---,166,---,HARO Veronica,*93,4,*98,93,58,1st YOUTH OLYMPIC GAMES
08.2010,w,PER,93,13.03.1993,57.55,31,65,*70,*65,65,---,158,---,SALDARRIAGA DIOSES Silvana Katiuzca,86,5,93,90,58,1st YOUTH OLYMPIC GAMES
08.2010,w,CMR,90,10.06.1994,56.49,32,67,*70,67,*70,---,157,---,GHEKAP WAFO Myriam,85,6,*92,90,58,1st YOUTH OLYMPIC GAMES
08.2010,w,MAS,80,29.09.1993,55.15,33,70,*73,*70,70,---,150,---,OSMAN Fatin Atikah,80,7,*85,*85,58,1st YOUTH OLYMPIC GAMES
08.2010,w,SIN,63,03.05.1993,57.82,34,52,52,47,*52,---,115,---,WEE Jamie Emma,*60,8,63,60,58,1st YOUTH OLYMPIC GAMES
08.2010,w,FIJ,57,09.12.1994,57.11,35,45,*49,40,45,---,102,---,LOLOHEA Luisa,50,9,57,*57,58,1st YOUTH OLYMPIC GAMES
08.2010,w,EGY,---,23.11.1993,56.93,36,81,*84,77,81,---,0,---,MAHMOUD Amal Mohamed,*97,---,*97,*97,58,1st YOUTH OLYMPIC GAMES
08.2010,m,PRK,140,30.11.1993,61.83,37,117,*121,113,117,---,257,---,KIM Song Chol,137,1,*145,140,62,1st YOUTH OLYMPIC GAMES
08.2010,m,COL,140,08.03.1994,61.61,38,107,107,*107,*107,---,247,---,MENA MORENO Jose Gavino,133,2,140,136,62,1st YOUTH OLYMPIC GAMES
08.2010,m,TUR,135,28.06.1993,61.75,39,111,*113,108,111,---,246,---,BUYUKUNLU Emre,130,3,135,*134,62,1st YOUTH OLYMPIC GAMES
08.2010,m,VIE,130,21.10.1993,56.21,40,109,109,*105,105,---,239,---,NGUYEN Thien Quoc,124,4,*133,130,62,1st YOUTH OLYMPIC GAMES
08.2010,m,INA,132,16.01.1994,61.05,41,107,107,100,*105,---,239,---,ZAINUDIN Zainudin,*132,5,*137,132,62,1st YOUTH OLYMPIC GAMES
08.2010,m,ECU,135,21.04.1993,60.79,42,103,103,95,100,---,238,---,PIZANGO Rene,130,6,135,*134,62,1st YOUTH OLYMPIC GAMES
08.2010,m,UGA,136,11.04.1994,61.40,43,101,*105,97,101,---,237,---,SSEKYAAYA Charles,132,7,136,*136,62,1st YOUTH OLYMPIC GAMES
08.2010,m,POL,123,04.12.1994,61.94,44,100,*103,100,*103,---,223,---,SLOWIKOWSKI Patryk,*123,8,*125,123,62,1st YOUTH OLYMPIC GAMES
08.2010,m,TKM,121,20.10.1993,61.17,45,101,*105,96,101,---,222,---,ORAZDURDYYEV Baymyrat,121,9,*126,*126,62,1st YOUTH OLYMPIC GAMES
08.2010,m,KSA,121,01.05.1994,61.37,46,98,*104,98,*104,---,219,---,AL DUHAYLIB Mohsen Hussain A,121,10,*125,*125,62,1st YOUTH OLYMPIC GAMES
08.2010,m,TGA,120,05.02.1993,61.53,47,97,97,87,92,---,217,---,TAUFA Michael Elborn,113,11,*124,120,62,1st YOUTH OLYMPIC GAMES
08.2010,w,KAZ,115,22.12.1993,62.51,48,90,90,*87,87,---,205,---,ZHAPPARKUL Zhazira,107,1,---,115,63,1st YOUTH OLYMPIC GAMES
08.2010,w,RUS,110,21.09.1994,58.88,49,94,94,89,92,---,204,---,AKHMETOVA Diana,110,2,*114,*114,63,1st YOUTH OLYMPIC GAMES
08.2010,w,MEX,106,23.05.1993,62.11,50,88,88,*85,85,---,194,---,FUENTES ZAVALA Aremi,106,3,*112,*110,63,1st YOUTH OLYMPIC GAMES
08.2010,w,TUR,106,17.09.1994,62.31,51,87,*89,85,87,---,193,---,OKUMUS Neslihan,106,4,*109,*109,63,1st YOUTH OLYMPIC GAMES
08.2010,w,PHI,95,23.03.1994,62.95,52,83,83,75,80,---,178,---,LLENA Patricia,95,5,*100,*100,63,1st YOUTH OLYMPIC GAMES
08.2010,w,AUS,92,06.04.1994,62.43,53,74,74,69,*74,---,166,---,KAHI Michelle Helena,85,6,*95,92,63,1st YOUTH OLYMPIC GAMES
08.2010,w,USA,90,09.12.1993,62.11,54,75,75,70,*75,---,165,---,BEED Jessica Danyell,90,7,*93,*93,63,1st YOUTH OLYMPIC GAMES
08.2010,m,AZE,161,13.08.1993,68.76,55,134,134,125,130,---,295,---,RAHIMOV Nijat,154,1,*166,161,69,1st YOUTH OLYMPIC GAMES
08.2010,m,CHN,160,28.04.1994,68.37,56,133,*135,128,133,---,293,---,GONG Xingbin,160,2,*165,*165,69,1st YOUTH OLYMPIC GAMES
08.2010,m,CUB,154,13.11.1993,66.75,57,129,129,120,125,---,283,---,MARQUEZ ONA Ediel,145,3,154,150,69,1st YOUTH OLYMPIC GAMES
08.2010,m,UZB,147,06.10.1994,68.82,58,126,*128,122,126,---,273,---,KUTBITDINOV Ziyobiddin,147,4,*158,*154,69,1st YOUTH OLYMPIC GAMES
08.2010,m,THA,150,11.01.1993,68.51,59,119,119,115,*119,---,269,---,BUNSUK Tairat,145,5,*160,150,69,1st YOUTH OLYMPIC GAMES
08.2010,m,ALG,140,16.01.1993,68.64,60,115,*119,110,115,---,255,---,FARDJALLAH Housseyn,140,6,*145,*145,69,1st YOUTH OLYMPIC GAMES
08.2010,m,IRI,135,07.07.1993,66.08,61,118,118,110,115,---,253,---,GHAZALIAN Mohsen,*135,7,*140,135,69,1st YOUTH OLYMPIC GAMES
08.2010,m,LBA,130,10.01.1994,65.78,62,110,*113,100,110,---,240,---,TUBAL Omer Maraj S.,*130,8,130,*130,69,1st YOUTH OLYMPIC GAMES
08.2010,m,NZL,110,19.09.1993,68.50,63,91,91,83,89,---,201,---,MILNE Josh,110,9,*117,*117,69,1st YOUTH OLYMPIC GAMES
08.2010,m,FIJ,105,30.04.1993,67.96,64,78,78,72,*78,---,183,---,LOLOHEA Charlie,95,10,105,100,69,1st YOUTH OLYMPIC GAMES
08.2010,m,GER,---,02.11.1993,68.77,65,125,125,118,122,---,0,---,MUELLER Nico,*148,---,*150,*150,69,1st YOUTH OLYMPIC GAMES
08.2010,m,RUS,182,05.05.1994,76.59,66,145,145,140,142,---,327,---,OKULOV Artem,170,1,182,*177,77,1st YOUTH OLYMPIC GAMES
08.2010,m,THA,170,19.07.1993,76.69,67,141,141,133,138,---,311,---,CHINNAWONG Chatuphum,160,2,*183,170,77,1st YOUTH OLYMPIC GAMES
08.2010,m,KAZ,155,25.06.1993,76.78,68,130,130,*125,125,---,285,---,SYBAY Rustem,155,3,*162,*162,77,1st YOUTH OLYMPIC GAMES
08.2010,m,PNG,155,13.05.1993,75.20,69,115,*120,115,*120,---,270,---,KARI Steven Kakuna,145,4,155,150,77,1st YOUTH OLYMPIC GAMES
08.2010,m,TPE,149,25.08.1993,75.87,70,112,112,105,*110,---,261,---,HUANG Yi-Yuan,145,5,*154,149,77,1st YOUTH OLYMPIC GAMES
08.2010,m,ITA,137,16.08.1993,72.76,71,111,111,100,108,---,248,---,PARLA Luca,130,6,*141,137,77,1st YOUTH OLYMPIC GAMES
08.2010,m,KIR,130,19.10.1994,75.35,72,100,100,90,95,---,230,---,BOB Kabuati Silas,120,7,130,125,77,1st YOUTH OLYMPIC GAMES
08.2010,m,AUS,120,12.09.1993,76.02,73,92,92,*85,85,---,212,---,LARKINS Liam Peter,*110,8,120,110,77,1st YOUTH OLYMPIC GAMES
08.2010,m,EGY,---,14.05.1993,76.65,74,---,*132,*132,*132,---,0,---,OSSAMA Saad Abouelyazideid Khattab,---,---,---,---,77,1st YOUTH OLYMPIC GAMES
08.2010,m,BUL,183,21.05.1993,84.34,75,152,152,142,148,---,335,---,SHIKOV Georgi Stoilov,175,1,183,180,85,1st YOUTH OLYMPIC GAMES
08.2010,m,RUS,180,29.07.1994,81.32,76,154,154,*150,150,---,334,---,KOSOV Aleksei,175,2,180,*180,85,1st YOUTH OLYMPIC GAMES
08.2010,m,UKR,175,04.08.1993,84.68,77,145,145,*140,140,---,320,---,REVA Kostiantyn,170,3,*191,175,85,1st YOUTH OLYMPIC GAMES
08.2010,m,BLR,170,14.05.1993,83.88,78,137,*141,130,137,---,307,---,VENSKEL Aliaksandr,160,4,*176,170,85,1st YOUTH OLYMPIC GAMES
08.2010,m,COL,152,08.02.1993,84.28,79,130,130,*125,125,---,282,---,VELEZ GUZMAN Jose Miguel,152,5,*160,*160,85,1st YOUTH OLYMPIC GAMES
08.2010,m,HON,155,18.04.1993,84.53,80,120,*126,120,*125,---,275,---,PAVON FUNES Cristopher Joel,151,6,*161,155,85,1st YOUTH OLYMPIC GAMES
08.2010,m,ASA,115,16.01.1994,83.37,81,95,*100,90,95,---,210,---,FAAGU Saumaleato,110,7,*120,115,85,1st YOUTH OLYMPIC GAMES
08.2010,m,PLW,110,23.07.1994,79.39,82,90,90,80,85,---,200,---,FAUSTINO Maverick T.,100,8,110,107,85,1st YOUTH OLYMPIC GAMES
08.2010,m,PAK,108,14.01.1994,84.30,83,91,91,81,86,---,199,---,BUTT Irfan,95,9,108,105,85,1st YOUTH OLYMPIC GAMES
08.2010,w,RUS,139,09.12.1993,71.59,84,112,112,105,110,---,251,---,ZUBOVA Olga,135,1,*143,139,p63,1st YOUTH OLYMPIC GAMES
08.2010,w,THA,136,04.11.1993,119.89,85,115,115,108,112,---,251,---,PULSABSAKUL Chitchanok,132,2,*142,136,p63,1st YOUTH OLYMPIC GAMES
