date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
05.2010,W,AUS,50,27.06.1995,46.50,0,38,38,31,35,1,88,1,CHISHOLM Courtenay,45,1,50,48,48,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,AUS,45,09.12.1994,47.40,1,35,35,*32,32,2,80,2,STUART Kara,45,2,*54,*50,48,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,FIJ,35,01.10.1993,47.80,2,30,*35,25,30,3,65,3,RASARI Iowana,30,3,*40,35,48,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,PNG,75,27.09.1992,52.50,3,60,*64,55,60,1,135,1,DOGODO Hitolo,*70,1,75,70,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,AUS,68,08.04.1993,52.60,4,53,53,45,49,2,121,2,WU Kirsten,63,2,68,65,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,NCL,65,20.03.1994,52.90,5,52,52,45,50,3,117,4,MANIULUA Maketalena,60,3,*68,65,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,PNG,65,14.02.1993,52.00,6,51,*53,48,51,4,116,3,SAMUEL Ranuinu,60,4,*68,65,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,AUS,53,16.05.1997,51.80,7,36,36,*31,31,5,89,5,COWEN Sophie,47,5,53,50,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,FIJ,47,09.12.1994,51.40,8,33,*38,33,*36,7,80,6,LOLOHEA Luisa,*47,6,*50,47,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,W,FIJ,40,20.10.1995,52.30,9,35,*37,*35,35,6,75,7,TAUWAI Teresia Ella Kula,35,7,40,*40,53,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,M,FIJ,134,25.03.1990,55.80,10,106,106,96,101,1,240,1,TULO Manueli,126,1,134,131,56,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,M,NRU,115,02.03.1994,55.90,11,87,*95,*87,87,2,202,3,BRECHTEFELD Elson,110,2,*120,115,56,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,M,NZL,116,18.03.1990,55.60,12,85,*90,85,*90,4,201,2,GUINARES Lou,108,3,116,112,56,OCEANIA JUNIOR CHAMPIONSHIPS
05.2010,M,PNG,115,15.04.1990,55.90,13,85,*90,85,*90,5,200,4,BARU Morea,110,4,115,*115,56,OCEANIA JUNIOR CHAMPIONSHIPS
