date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
08.2007,W,CHN,105,01.04.1985,47.85,0,85,85,75,80,1,190,1,GAO Wei,95,1,105,100,48,10th UNIVERSITY WORLD CUP
08.2007,W,CHI,74,05.10.1984,47.17,1,59,59,57,* 59,3,133,2,ALFARO Albertina,* 73,2,74,73,48,10th UNIVERSITY WORLD CUP
08.2007,W,ECU,73,27.06.1982,47.78,2,60,60,55,59,2,133,3,ARBOLEDA MORENO Marilyn Paola,* 73,3,* 75,73,48,10th UNIVERSITY WORLD CUP
08.2007,W,USA,72,18.07.1986,47.65,3,59,59,* 59,* 59,4,131,5,SNETHEN Heather,72,4,* 74,* 74,48,10th UNIVERSITY WORLD CUP
08.2007,W,PER,72,21.08.1988,46.10,4,52,* 56,* 52,52,5,124,4,SALCEDO HUAMANI Josefina,72,5,* 75,* 75,48,10th UNIVERSITY WORLD CUP
08.2007,W,PER,60,04.09.1987,47.97,5,---,* 49,* 49,* 49,---,0,6,QUISPE Rosario,55,---,* 65,60,48,10th UNIVERSITY WORLD CUP
08.2007,W,CHN,115,07.10.1985,52.19,6,86,86,75,80,1,201,1,DONG Cailian,100,1,115,110,53,10th UNIVERSITY WORLD CUP
08.2007,W,USA,86,01.05.1988,52.86,7,66,66,* 66,* 66,3,152,3,TURNBULL Samantha,* 81,2,86,81,53,10th UNIVERSITY WORLD CUP
08.2007,W,ECU,83,15.01.1983,52.85,8,68,* 70,* 68,68,2,151,4,ARIAS Sylvia,83,3,* 87,* 86,53,10th UNIVERSITY WORLD CUP
08.2007,W,GRE,75,08.01.1982,51.85,9,60,* 62,56,60,4,135,6,FILANDRIANOU Christina,75,4,* 80,* 80,53,10th UNIVERSITY WORLD CUP
08.2007,W,PER,75,07.01.1989,51.70,10,56,56,50,53,5,131,5,CUBA Maribel Ines,70,5,75,* 75,53,10th UNIVERSITY WORLD CUP
08.2007,W,BOL,---,16.07.1989,52.48,11,35,* 40,* 35,35,6,0,---,MENDEZ Ibanez Carmen,* 50,---,* 50,* 50,53,10th UNIVERSITY WORLD CUP
08.2007,W,USA,86,11.05.1982,52.77,12,---,* 67,* 67,* 67,---,0,2,FIDES Jessica,81,---,86,84,53,10th UNIVERSITY WORLD CUP
08.2007,M,CHN,140,17.06.1984,55.97,13,120,120,110,*120,1,260,1,DU Binghao,140,1,*150,*150,56,10th UNIVERSITY WORLD CUP
08.2007,M,TPE,135,27.10.1984,55.62,14,90,*100,90,*100,4,225,2,TSAI Sheng-Fen,121,2,135,128,56,10th UNIVERSITY WORLD CUP
08.2007,M,PER,127,10.08.1985,55.29,15,90,* 96,* 90,90,3,217,3,GALVEZ Jose,120,3,127,125,56,10th UNIVERSITY WORLD CUP
08.2007,M,MEX,120,24.07.1979,55.89,16,97,*101,92,97,2,217,4,ROMO Alejandro,120,4,*125,*125,56,10th UNIVERSITY WORLD CUP
08.2007,W,CHN,125,28.01.1986,57.98,17,95,95,90,* 95,1,220,1,CHEN Xiuying,120,1,*130,125,58,10th UNIVERSITY WORLD CUP
08.2007,W,JPN,105,13.03.1986,57.95,18,86,* 88,83,86,2,191,2,MATSUMOTO Moeha,105,2,*110,*110,58,10th UNIVERSITY WORLD CUP
08.2007,W,MEX,102,12.09.1987,57.98,19,79,79,75,* 79,3,181,3,GUICHO RECIO Quisia Yaneli,98,3,102,*102,58,10th UNIVERSITY WORLD CUP
08.2007,W,TPE,95,05.03.1984,56.27,20,75,* 80,75,* 80,4,170,4,LIN Tsu-Ling,95,4,*100,*100,58,10th UNIVERSITY WORLD CUP
08.2007,W,USA,86,22.08.1988,57.12,21,75,75,71,74,5,161,5,KATZENMEIER Hilary,86,5,* 92,* 92,58,10th UNIVERSITY WORLD CUP
08.2007,W,PER,77,05.02.1986,57.32,22,56,56,* 52,52,7,133,6,RAMIREZ Miriam,* 72,6,77,72,58,10th UNIVERSITY WORLD CUP
08.2007,W,BOL,60,15.06.1988,55.47,23,50,* 53,* 50,50,8,110,7,IGLESIAS Robles Eliana,60,7,* 63,* 63,58,10th UNIVERSITY WORLD CUP
08.2007,W,USA,---,06.11.1983,57.23,24,73,73,70,* 73,6,0,---,DAVIS Sarah E.,* 88,---,* 88,* 88,58,10th UNIVERSITY WORLD CUP
08.2007,M,CHN,160,16.07.1983,61.92,25,133,*138,133,*138,1,293,1,ZHANG Xiangxiang,*160,1,*165,160,62,10th UNIVERSITY WORLD CUP
08.2007,M,CUB,145,12.10.1984,60.28,26,123,123,114,117,2,268,2,LAZARO MAYKEL Ruiz Gasso,145,2,*152,*152,62,10th UNIVERSITY WORLD CUP
08.2007,M,USA,141,06.01.1985,61.93,27,115,115,108,111,3,256,3,JOHNSON Derrick Rshone,137,3,*145,141,62,10th UNIVERSITY WORLD CUP
08.2007,M,USA,140,05.03.1983,61.57,28,110,*113,106,110,4,250,4,YAMAUCHI Kyle,132,4,140,136,62,10th UNIVERSITY WORLD CUP
08.2007,M,GRE,125,13.05.1987,61.53,29,103,103,*100,100,5,228,6,KATSOULIDIS Panayotis,120,5,125,*125,62,10th UNIVERSITY WORLD CUP
08.2007,M,MEX,120,22.01.1984,62.00,30,90,* 95,85,90,6,210,7,EUAN Jose,110,6,120,115,62,10th UNIVERSITY WORLD CUP
08.2007,M,ECU,135,06.01.1981,61.93,31,---,*103,*103,*103,---,0,5,CUENCA Marco,*135,---,135,*135,62,10th UNIVERSITY WORLD CUP
08.2007,W,ECU,105,09.04.1981,62.67,32,81,* 84,77,81,1,186,1,MALLA HERAS Martha Lourdes,98,1,105,102,63,10th UNIVERSITY WORLD CUP
08.2007,W,USA,83,02.04.1980,61.19,33,66,* 70,63,66,2,149,2,MUSSER Leslie J.,80,2,83,* 83,63,10th UNIVERSITY WORLD CUP
08.2007,W,MEX,92,15.10.1983,63.13,34,70,70,* 70,* 70,2,162,1,MARTINEZ Ibeth,90,1,* 95,92,69,10th UNIVERSITY WORLD CUP
08.2007,M,CHN,180,05.10.1987,68.92,35,145,*150,*145,145,1,325,1,LIAO Hui,*180,1,180,*180,69,10th UNIVERSITY WORLD CUP
08.2007,W,PER,85,07.07.1988,63.73,36,71,71,60,70,1,156,2,GUTIERREZ GUERRERO Gaby,85,2,* 91,* 91,69,10th UNIVERSITY WORLD CUP
08.2007,M,COL,145,21.04.1981,68.57,37,118,118,*117,*117,2,263,2,AROCA Faiver,143,2,---,145,69,10th UNIVERSITY WORLD CUP
08.2007,M,ESP,138,08.10.1986,68.04,38,115,*120,110,115,3,253,4,GARCIA SERRANO Fernando Tomas,133,3,*141,138,69,10th UNIVERSITY WORLD CUP
08.2007,W,BOL,67,05.04.1984,64.58,39,53,* 56,50,53,3,120,3,ANDRADE Pinedo Silvia,67,3,* 70,* 70,69,10th UNIVERSITY WORLD CUP
08.2007,M,PER,140,16.06.1988,67.91,40,106,106,100,*106,4,246,3,LESCANO GUERRERO Arturo David,132,4,140,*137,69,10th UNIVERSITY WORLD CUP
08.2007,M,IRL,125,15.08.1986,67.71,41,102,*105,97,102,5,227,5,BYRD Cathal,*125,5,125,*125,69,10th UNIVERSITY WORLD CUP
08.2007,M,PER,122,06.05.1988,68.91,42,95,95,90,* 95,6,217,6,TREJO Orlando,117,6,122,*122,69,10th UNIVERSITY WORLD CUP
08.2007,M,CHI,110,21.05.1987,64.38,43,87,* 93,* 85,87,7,197,7,SALINAS Leonardo Gonzalez,110,7,*117,*115,69,10th UNIVERSITY WORLD CUP
08.2007,W,THA,115,23.06.1988,73.93,44,92,92,86,* 92,1,207,1,RATTANACHUANG Watcharawadee,110,1,*120,115,75,10th UNIVERSITY WORLD CUP
08.2007,W,JPN,107,22.06.1985,74.13,45,85,85,* 85,* 85,2,192,2,KIKUTA Yuko,103,2,107,*107,75,10th UNIVERSITY WORLD CUP
08.2007,W,TUR,89,01.01.1986,73.85,46,72,* 77,66,72,3,161,3,NOKTA Gulden,82,3,* 92,89,75,10th UNIVERSITY WORLD CUP
08.2007,W,PER,80,02.10.1984,72.63,47,65,65,60,62,4,145,4,MORI AGUINAGA Marcela,77,4,* 81,80,75,10th UNIVERSITY WORLD CUP
08.2007,M,CHN,185,14.08.1983,76.79,48,160,160,*152,153,1,345,1,LIU Haihua,175,1,*190,185,77,10th UNIVERSITY WORLD CUP
08.2007,M,ECU,172,15.03.1981,76.26,49,152,*153,146,152,2,324,2,IDROVO SUAREZ Julio Cesar,160,2,172,168,77,10th UNIVERSITY WORLD CUP
08.2007,M,USA,167,30.03.1987,76.63,50,125,*130,125,*130,3,292,3,WOODARD Henry II,155,3,167,157,77,10th UNIVERSITY WORLD CUP
08.2007,M,USA,139,12.09.1986,76.05,51,114,114,106,111,4,253,6,BRIMHALL Justin L.,135,4,*142,139,77,10th UNIVERSITY WORLD CUP
08.2007,M,CAN,142,11.01.1985,76.85,52,111,*114,107,111,5,253,5,BAILEY Walter,137,5,*145,142,77,10th UNIVERSITY WORLD CUP
08.2007,M,PER,120,14.02.1988,76.01,53,100,*105,95,100,6,220,7,FEIJOO Alexander,120,6,*125,*125,77,10th UNIVERSITY WORLD CUP
08.2007,M,SCO,---,25.06.1985,76.80,54,---,*110,*110,*110,---,0,---,McGILL Brandon,---,---,---,---,77,10th UNIVERSITY WORLD CUP
08.2007,M,TUR,155,24.01.1987,74.91,55,---,*125,*125,*125,---,0,4,BALCI Cagkan,150,---,155,*155,77,10th UNIVERSITY WORLD CUP
08.2007,M,CHN,195,15.06.1985,83.32,56,160,*167,150,160,1,355,1,HUANG Zhong,185,1,195,190,85,10th UNIVERSITY WORLD CUP
08.2007,M,USA,184,16.04.1983,84.55,57,141,141,*137,137,4,325,2,KRYCH Zachary Joseph Rusnacko,177,2,184,182,85,10th UNIVERSITY WORLD CUP
08.2007,M,DOM,181,06.02.1983,83.36,58,142,*144,137,142,3,323,3,QUITERIO Juan Carlos,*172,3,181,172,85,10th UNIVERSITY WORLD CUP
08.2007,M,TUR,175,19.10.1983,81.07,59,137,*142,*137,137,5,312,4,SAGIR Nezir,*175,4,*181,175,85,10th UNIVERSITY WORLD CUP
08.2007,M,USA,160,15.03.1985,83.32,60,142,142,135,138,2,302,6,ROBERTS Paul,160,5,*167,*165,85,10th UNIVERSITY WORLD CUP
08.2007,M,JPN,163,11.08.1985,84.76,61,130,130,*130,*130,7,293,5,TANAKA Hiroto,*163,6,*168,163,85,10th UNIVERSITY WORLD CUP
08.2007,M,TUR,155,05.03.1985,82.98,62,130,130,*125,125,6,285,7,ARIK Hakan,*155,7,*160,155,85,10th UNIVERSITY WORLD CUP
