date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
04.2014,W,RSA,54,02.12.1998,47.10,0,43,* 45,40,43,1,97,1,KLOPPERS Kaylynn,51,1,* 57,54,48,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,ALG,51,27.02.1999,43.50,1,35,* 41,35,* 40,2,86,2,LAGHOUATI Fatima Zohra,42,2,51,47,48,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,TUN,93,05.05.1998,51.80,2,75,* 78,70,75,1,168,1,LANDOULSI Nouha,* 93,1,* 98,93,53,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,MAR,80,28.08.1995,50.90,3,64,64,58,* 64,2,144,2,SIBAR Sara,80,2,* 87,* 87,53,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,TUN,120,06.04.1997,55.60,4,102,102,90,97,1,222,1,KRAYDI Faouzi,111,1,*124,120,56,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,TUN,110,28.02.1996,53.60,5,94,* 97,88,94,2,204,2,BOUHIJBHA Amine,110,2,*120,*120,56,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,LBA,92,01.01.1995,54.90,6,80,80,71,* 80,3,172,3,ALTAIB Ashref S. Alden,* 92,3,*100,92,56,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,RSA,73,29.01.1999,43.50,7,54,54,50,* 54,4,127,4,CHRISTIANS Enrique Nicolai,70,4,* 75,73,56,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,TUN,95,22.08.1994,57.60,8,77,* 79,73,77,1,172,1,MEJRI Oumaima,95,1,*100,*100,58,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,ALG,80,26.09.1997,56.00,9,61,61,58,* 61,2,141,2,BENMILOUD Meryem Nada,73,2,80,77,58,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,MAR,60,26.03.1997,55.40,10,45,* 56,45,* 55,3,105,3,KARIM Youssra,60,3,* 73,* 73,58,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,MAR,35,20.07.1997,57.20,11,35,35,25,30,4,70,4,OUTOUNIFOU Fadwa,* 35,4,* 42,35,58,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,TUN,150,28.04.1995,61.10,12,123,123,115,120,1,273,1,OUERTANI Marouan,*150,1,150,*150,62,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,ALG,125,22.09.1994,61.40,13,107,*110,100,107,2,232,2,AINOUAZANE Abdelkader,120,2,*130,125,62,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,LBA,123,01.01.1995,61.80,14,105,*108,95,105,3,228,3,GASHOUT Mokhtar,110,3,*128,123,62,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,MAR,93,11.12.1996,58.70,15,60,* 72,60,* 70,4,153,4,LOUIZAT Achraf,77,4,93,82,62,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,EGY,106,21.11.1998,61.00,16,89,89,80,85,1,195,1,AHMED Esraa Elsayed Rashed Elsayed,95,1,106,100,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,TUN,86,07.07.1997,62.10,17,67,* 71,65,67,2,153,2,GUZMIR Marwa,80,2,* 89,86,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,ALG,86,06.06.1998,62.50,18,66,66,61,63,3,152,3,CHERRARA Ikram,80,3,* 89,86,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,GHA,78,21.08.1997,61.00,19,62,62,60,* 62,4,140,4,ARKOH Juliana,75,4,78,76,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,ALG,72,08.03.1997,60.00,20,55,* 58,50,55,5,127,5,HAMMOU Kheira,65,5,* 75,72,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,SEY,69,06.04.1998,61.40,21,55,* 60,55,* 60,6,124,6,LARUE Romentha,65,6,* 71,69,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,MAR,40,14.11.1998,60.60,22,32,32,25,30,7,72,7,EL MEDINI Soukaina,30,7,40,35,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,MAR,40,20.07.1998,61.50,23,25,25,* 25,* 25,8,65,8,AMERHIOUZ Hajar,30,8,40,* 40,63,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,EGY,125,01.01.1998,64.90,24,103,103,95,100,1,228,1,AHMED Sara Samir Elsayed Mohamed,115,1,125,122,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,TUN,170,13.11.1994,68.60,25,146,0.0,0.0,0.0,1,316,1,BEN HNIA Karem,170,1,*179,*179,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,TUN,101,02.08.1998,65.90,26,76,* 80,70,76,2,177,2,ABIDI Yousra,* 96,2,101,96,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,LBA,156,10.01.1994,68.70,27,125,0.0,0.0,0.0,2,281,2,TUBAL Omer Maraj S.,150,2,156,155,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,ALG,155,29.11.1994,68.40,28,123,0.0,0.0,0.0,3,278,3,SARIAK Nafaa,145,3,155,152,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,ALG,77,25.07.1997,64.30,29,60,60,* 55,55,3,137,3,KADIM Soulaf,70,3,77,* 75,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,W,MAR,50,25.03.1997,64.30,30,41,* 46,30,41,4,91,4,CHARKANI Chaimaa,35,4,* 60,50,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,TUN,141,18.11.1996,68.10,31,114,0.0,0.0,0.0,5,255,4,BEN EHMIDA Ehsssine,141,4,*146,*146,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,ALG,135,01.05.1995,68.70,32,116,0.0,0.0,0.0,4,251,5,TOUALBIA Abdelouahab,130,5,*142,135,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,MAR,131,05.04.1996,68.20,33,102,0.0,0.0,0.0,6,233,6,HALLAL Mustapha,120,6,131,*131,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
04.2014,M,KEN,95,23.12.1998,67.10,34,75,0.0,0.0,0.0,7,170,7,SIKOTO Evans Murutu,95,7,*105,*100,69,2014 AFRICAN JUNIOR CHAMPIONSHIPS
