date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
03.2010,W,NGR,75,18.02.1994,46.75,0,59,59,50,55,1,134,1,BAWO Tosan,70,1,*77,75,48,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,EGY,75,01.01.1996,47.50,1,55,*59,50,55,2,130,2,RAMADAN Lamyaa Abou El Hassan,70,2,*77,75,48,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,MRI,61,28.01.1990,46.15,2,46,46,*46,*46,3,107,3,DUVAL Christine,57,3,*66,61,48,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,RSA,45,28.09.1994,47.75,3,30,30,*30,*30,4,75,4,HIABATHE Tembile,35,4,45,40,48,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,EGY,90,27.06.1995,51.90,4,74,74,70,*73,1,164,1,IBRAHIM Basma Emad Gouda Mohamed,88,1,*92,90,53,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,NGR,80,03.03.1994,51.90,5,63,63,60,62,2,143,2,BANKOLE Mufuli,80,2,*85,*85,53,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,TUN,75,06.01.1991,50.10,6,62,*63,*62,62,3,137,3,MEJRI Sabrin,75,3,*80,*80,53,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,RSA,55,02.12.1996,51.10,7,43,*46,40,43,4,98,4,MALGAS Benita Anastasia,46,4,55,50,53,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,SEY,52,24.09.1993,52.50,8,40,*43,40,*43,5,92,5,BASTIENNE Luciana,50,5,*55,52,53,AFRICAN JUNIOR CHAMPIONSHIPS
03.2010,W,NGR,------,20.09.1995,52.00,9,------,75,65,70,DSQ,0,DSQ,ONUAH Elizabeth,82,DSQ,*87,*87,53,AFRICAN JUNIOR CHAMPIONSHIPS
