date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
07.2003,w,CHN,116,04.12.1981,47.88,0,93,93,87.5,90,1,207.5,1,LI Zhuo,110,1,*117.5,116,48,6th UNIVERSITY WORLD CUP
07.2003,w,THA,102.5,26.02.1980,47.62,1,80,*82.5,75,80,2,182.5,2,WIRATTHAWORN Aree,100,2,*105,102.5,48,6th UNIVERSITY WORLD CUP
07.2003,w,TPE,95,05.12.1980,47.42,2,75,*80,75,*80,3,170,3,CHEN Han-Tung,95,3,*105,*105,48,6th UNIVERSITY WORLD CUP
07.2003,w,TPE,80,07.10.1981,46.87,3,65,*70,65,*70,4,145,4,WU Ling-Hui,80,4,*85,*85,48,6th UNIVERSITY WORLD CUP
07.2003,w,USA,80,30.03.1978,47.66,4,62.5,*65,62.5,*65,5,142.5,5,REXROAD Kelly Elizabeth,80,5,*85,*85,48,6th UNIVERSITY WORLD CUP
07.2003,w,GUA,77.5,23.07.1977,47.54,5,60,60,57.5,*60,6,137.5,6,GOMEZ Olvina,75,6,*80,77.5,48,6th UNIVERSITY WORLD CUP
07.2003,w,JPN,75,26.05.1983,47.67,6,60,60,*60,*60,7,135,7,YAMAGAMI Shino,72.5,7,*77.5,75,48,6th UNIVERSITY WORLD CUP
07.2003,w,THA,120,06.10.1981,52.95,7,95,*97.5,90,95,1,215,1,POLSAK Udomporn,115,1,*122.5,120,53,6th UNIVERSITY WORLD CUP
07.2003,w,CHN,110,17.02.1979,52.65,8,90,*92.5,90,*92.5,2,200,2,GUO Huibing,105,2,*112.5,110,53,6th UNIVERSITY WORLD CUP
07.2003,w,TPE,97.5,20.11.1979,52.41,9,77.5,77.5,70,75,3,175,3,LING I-Hua,90,3,97.5,95,53,6th UNIVERSITY WORLD CUP
07.2003,w,MEX,90,12.07.1980,52.65,10,72.5,*77.5,72.5,*77.5,4,162.5,4,REYES Marina,90,4,*95,*95,53,6th UNIVERSITY WORLD CUP
07.2003,w,TUR,85,01.03.1985,52.39,11,67.5,*72.5,*67.5,67.5,5,152.5,5,KARADEMIR Emine,85,5,*90,*90,53,6th UNIVERSITY WORLD CUP
07.2003,w,ISR,70,04.07.1978,51.24,12,55,55,*55,*55,6,125,6,NATAN Renata,65,6,70,*70,53,6th UNIVERSITY WORLD CUP
07.2003,m,CHN,152.5,20.08.1981,55.89,13,115,*122.5,*115,115,2,267.5,1,LU Linbi,145,1,*160,152.5,56,6th UNIVERSITY WORLD CUP
07.2003,m,KAZ,115,27.03.1982,55.43,14,100,100,95,97.5,3,215,2,RODIONOV Andrey,115,2,*120,*120,56,6th UNIVERSITY WORLD CUP
07.2003,m,GRE,105,30.07.1981,55.50,15,90,*92.5,85,90,4,195,3,TRASTOGIANNOS Chronis,100,3,*110,105,56,6th UNIVERSITY WORLD CUP
07.2003,m,ISR,100,19.03.1984,54.93,16,80,*82.5,75,80,6,180,4,LASKER Felix,95,4,*105,100,56,6th UNIVERSITY WORLD CUP
07.2003,m,ITA,95,06.12.1980,54.03,17,80,80,*75,75,5,175,5,SINDONI Giovanni,90,5,*100,95,56,6th UNIVERSITY WORLD CUP
07.2003,m,TPE,---,15.05.1981,55.33,18,125,*130,120,125,1,0,---,YANG Chin-Yi,*150,---,*150,*150,56,6th UNIVERSITY WORLD CUP
07.2003,w,CHN,120,08.01.1984,57.44,19,100,100,*95,95,1,220,2,ZHOU Yan,120,1,*130,*125,58,6th UNIVERSITY WORLD CUP
07.2003,w,THA,125,18.01.1978,57.54,20,90,*97.5,90,*95,2,215,1,KAMEAIM Wandee,120,2,125,*125,58,6th UNIVERSITY WORLD CUP
07.2003,w,CAN,115,23.02.1975,57.41,21,82.5,*85,82.5,*85,4,197.5,3,TURCOTTE Maryse,110,3,*120,115,58,6th UNIVERSITY WORLD CUP
07.2003,w,GRE,97.5,18.07.1981,57.33,22,82.5,*85,77.5,82.5,3,180,5,TOKA Olibia,97.5,4,*102.5,*102.5,58,6th UNIVERSITY WORLD CUP
07.2003,w,ESP,90,29.05.1980,56.61,23,72.5,*75,67.5,72.5,5,162.5,6,NUNEZ Laura,87.5,5,*92.5,90,58,6th UNIVERSITY WORLD CUP
07.2003,w,JPN,87.5,24.09.1981,57.94,24,70,70,62.5,67.5,7,157.5,8,NAGASAKI Kana,85,6,87.5,*87.5,58,6th UNIVERSITY WORLD CUP
07.2003,w,MEX,90,07.04.1983,57.89,25,65,*70,65,*70,8,155,7,ORTEGA Janet Maria,85,7,90,*90,58,6th UNIVERSITY WORLD CUP
