date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
03.2014,W,CHN,106,15.08.1995,47.34,0,81,81,78,* 81,1,187,1,QIN Lidan,97,1,106,103,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,IND,93,08.08.1994,47.84,1,75,75,70,73,2,168,2,MIRABAI Chanu Saikhom,* 90,2,93,90,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,KOR,91,20.08.1995,47.99,2,73,* 77,73,* 77,3,164,3,LEE Seulki,91,3,* 96,* 96,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,THA,85,02.01.1995,46.47,3,67,67,* 63,63,4,152,4,WANROEK On-Uma,85,4,* 90,* 90,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,TPE,80,27.12.1994,47.10,4,67,* 72,63,67,5,147,5,CHIANG Meng-Chun,80,5,* 85,* 85,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,VIE,75,10.10.1997,46.26,5,60,* 63,60,* 63,6,135,6,NGO Thi Quyen,* 75,6,* 77,75,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,TPE,73,14.06.1994,47.51,6,60,60,* 60,* 60,7,133,7,LIU Wen Hsuan,* 73,7,* 75,73,48,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,THA,109,23.12.1994,52.91,7,91,* 93,86,91,1,200,1,TANASAN Sopita,*109,1,---,109,53,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,THA,96,11.03.1996,52.57,8,77,77,72,74,3,173,2,KAEWKHONG Supattra,93,2,96,95,53,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,VIE,94,20.11.1994,52.83,9,74,* 77,72,74,4,168,3,VU Thi Nhu Quynh,* 94,3,94,* 94,53,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,IND,91,25.08.1994,52.87,10,74,* 76,70,74,5,165,5,HARSHDEEP Kaur,88,4,* 93,91,53,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,TPE,93,01.01.1994,52.80,11,71,* 74,67,71,6,164,4,HUNG Tzu-Chun,88,5,* 96,93,53,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,W,CHN,---,18.06.1996,52.45,12,90,90,85,* 90,2,0,---,ZOU Han,*108,---,*108,*108,53,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,M,CHN,153,01.06.1995,55.71,13,108,*113,108,*113,3,261,1,LONG Decheng,135,1,153,148,56,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,M,THA,140,22.08.1995,55.87,14,116,*121,111,116,1,256,3,KRUAITHONG Sinphet,*140,2,*149,140,56,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,M,THA,141,10.02.1996,55.45,15,99,99,* 95,95,7,240,2,MINGMOON Witoon,135,3,141,139,56,2014 ASIAN JUNIOR CHAMPIONSHIP
03.2014,M,PRK,135,14.01.1994,55.75,16,105,*110,105,*110,5,240,4,JON Ho Gyong,*133,4,135,133,56,2014 ASIAN JUNIOR CHAMPIONSHIP
