date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
04.2015,W,CHN,88,20.11.1999,43.88,0,67,67,62,65,2,155,1,GAO Yimei,80,1,88,84,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,VIE,76,05.07.1999,43.44,1,70,70,66,68,1,146,5,KHONG My Phuong,* 76,2,76,* 76,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,BRA,80,18.03.1998,43.54,2,65,65,60,63,3,145,4,ROSA FIGUEIREDO Emily,78,3,* 82,80,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,COL,81,18.06.2000,43.86,3,61,61,56,59,5,142,2,BERRIO ZULUAGA Manuela Andrea,78,4,81,* 81,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,ROU,80,01.10.2000,43.22,4,58,58,* 58,* 58,7,138,3,POPOVICI Alina-Alexandra,76,5,* 83,80,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,POL,75,23.06.1999,43.87,5,60,* 62,57,60,6,135,6,OLESKIEWICZ Sylwia Malgorzata,68,6,75,71,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,IND,69,20.05.1999,43.91,6,55,55,52,* 55,8,124,8,CHAVAN Mohini Daryappa,65,7,* 71,69,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,GBR,70,13.06.1999,43.25,7,50,* 53,47,50,10,120,7,JONES Catrin Haf,62,8,70,66,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,PER,65,18.12.1999,43.50,8,50,50,45,48,11,115,9,LAHUANAMPA CASTILLO Melina Alicia,59,9,65,62,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
04.2015,W,ECU,62,28.04.1998,40.15,9,50,50,47,* 50,9,112,11,CAMPOVERDE ALMEIDA Kerlly Mariuxi,62,10,* 65,* 65,44,2015 IWF YOUTH WORLD CHAMPIONSHIPS
